Team Index,Team Name,Division,Team Website,Home Field,Home Field City,Home Field State,Phone Number,Team Email,Head Coach,Assistant HC,Offensive Coordinator,Defensive Coordinator,Special Teams Coordinator,General Manager,Assistant General Manager,Director of Operations,Owner,PCT,PF,PA,Home Wins,Home Loss,Home Ties,Road Win,Road Loss,Road Tie,Div Win,Div Loss,Div Tie,Non Div Win,Non Div Loss,Non Div Tie,Streak
1,San Diego Rebellion,Pacific,https://www.sandiegorebellion.com/,Escondido High School,NR,CA,650-521-1756,sdrebellion@wnfcfootball.com,Knengi Martin,NR,NR,NR,NR,NR,NR,NR,NR,0.875,234,54,4,1,0,3,0,0,7,1,0,0,0,0,0
2,Seattle Majestics,Pacific,https://www.theseattlemajestics.com,French Field,Kent,WA,NR,seattlemajestics@wnfcfootball.com,Joey Martinez,NR,Pierre Rogers,Justin Martinez,Christopher Berry,Virgil Jones,NR,NR,NR,0.571,171,121,2,1,0,2,2,0,4,3,0,0,0,0,0
3,Los Angeles Legends,Pacific,https://www.lalegendsfootball.com,Warren High School,NR,CA,424-232-8902,	info@lalegendsfootball.com,Timothy Holmes,NR,NR,NR,NR,NR,NR,NR,NR,0.429,116,132,2,1,0,1,3,0,3,4,0,0,0,0,0
4,Las Vegas Silver Stars,Pacific,https://www.lvsilverstars.com/,Mater Academy East,NR,NV,702-595-4811,lvsilverstarsfootball@gmail.com,Carrie Walters,NR,NR,NR,NR,NR,NR,NR,NR,0.333,62,155,2,1,0,0,3,0,2,4,0,0,0,0,0
5,Utah Falconz,Pacific,https://utahfalconz.com/,Cottonwood High School,NR,UT,859-816-3671,Utahfalconz@gmail.com,Cecil Chang,NR,NR,NR,NR,NR,NR,NR,NR,0.333,6,135,2,1,0,0,3,0,2,4,0,0,0,0,0
6,Oregon Ravens,Pacific,https://oregonravens.com/,Milwaukie High School,NR,OR,503-853-1919,oregonravensfootball@gmail.com,John Larosa,NR,NR,NR,NR,Asia Wisecarver,Summer Rose,Heidi Shelburg,Oana Dumitrescu,0.167,43,179,1,2,0,0,3,0,1,5,0,0,0,0,0
7,Texas Elite Spartans,Central,	https://www.texaselitewomensfootball.com/,CMS West,Coppell,TX,469-986-5672,	txelitespartans@wnfcfootball.com,Odessa Jenkins,Kay Spain,NR,Kay Spain,NR,NR,NR,NR,NR,0.875,285,26,4,0,0,3,1,0,7,1,0,0,0,0,7
8,Mississippi Panthers,Central,https://www.mspanthers.com/,Madison Ridgeland Academy,NR,MS,601-451-2498,Mspanthers@wnfcfootball.com,LeSteven Jackson,NR,NR,NR,NR,NR,NR,NR,NR,0.75,224,80,4,0,0,2,2,0,6,2,0,0,0,0,0
9,Kansas City Glory,Central,https://www.kansascityglory.com/,Pembroke Hill High School,Kansas City,MO,NR,kcglory@wnfcfootball.com,"Spencer Peterson, Keke Blackmon",NR,NR,NR,NR,NR,NR,NR,NR,0.571,93,83,3,0,0,1,3,0,4,3,0,0,0,0,0
10,Denver Bandits,Central,https://www.denbandits/,North Stadium/ APS Stadium,NR,CO,NR,denverbandits@wnfcfootball.com,Martin Jones,NR,NR,NR,NR,NR,NR,NR,NR,0.167,27,188,0,3,0,1,2,0,1,5,0,0,0,0,0
11,Houston Mambas,Central,www.houstonmambas.com,Sheldon ISD Panther Stadium,NR,TX,NR,Houstonmambas@wnfcfootball.com,Marcus John,NR,NR,NR,NR,NR,NR,NR,NR,0,13,198,0,3,0,0,3,0,0,6,0,0,0,0,0
12,Washington Prodigy,Atlantic,https://www.washingtonprodigy.com/,Theodore Roosevelt High School,Washington,DC,215-327-4825,prodigy@wnfcfootball.com,LaMont Jordan,NR,NR,NR,NR,NR,NR,NR,NR,1,222,42,5,0,0,3,0,0,8,0,0,0,0,0,8
13,Chicago Winds,Atlantic,https://www.thechicagowinds.com/,Langhorst Field,Chicago,IL,NR,chicagowinds@wnfcfootball.com,Allan Williams,NR,NR,Carlos Jones,NR,NR,NR,NR,NR,0.714,202,99,2,1,0,3,1,0,5,2,0,0,0,0,0
14,Jersey Shore Wave,Atlantic,https://www.jerseyshorefb.com/,Hinchliffe Stadium,NR,NJ,NR,wave@jerseyshorefb.com,Fabian Alesandro,NR,NR,NR,NR,NR,NR,NR,NR,0.333,80,119,2,1,0,0,3,0,2,4,0,0,0,0,0
15,Tennesse Trojans,Atlantic,https://www.tennesseetrojans.com/,NR,NR,TN,847-951-9201,tntrojans@wnfcfootball.com,Charles Hunter,Matthew Breymeyer,Jeremy Bassett,NR,NR,Casandra Cattouse,NR,NR,Rachel Ortiz-Marsh,0.333,45,103,2,2,0,1,2,0,2,4,0,0,0,0,0
16,Atlanta Truth,Atlantic,https://www.atlantatruthfootball.com/,Lithia Springs High School,NR,GA,943-888-2286,Atlantatruth@wnfcfootball.com,Kameron Marks,NR,NR,NR,NR,NR,NR,NR,NR,0.333,81,113,2,1,0,0,3,0,2,4,0,0,0,0,0
17,Florida Avengers,Atlantic,https://www.floridaavengers.com/,Nathaniel Glover Community Field and Stadium at Edward Waters University,NR,FL,904-334-5026,floridaavengers@wnfcfootball.com,Damien Grimes,NR,NR,NR,NR,NR,NR,NR,NR,0.167,33,172,0,3,0,1,2,0,1,5,0,0,0,0,1
