Team Index,Team Name,Division,Team Website,Home Field,Home Field City,Home Field State,Phone Number,Team Email,Head Coach,Assistant HC,Offensive Coordinator,Defensive Coordinator,Special Teams Coordinator,General Manager,Assistant General Manager,Director of Operations,Owner,PCT,PF,PA,Home Wins,Home Loss,Home Ties,Road Win,Road Loss,Road Tie,Div Win,Div Loss,Div Tie,Non Div Win,Non Div Loss,Non Div Tie,Streak
19,Golden State Storm,Pacific,https://goldenstatestorm.com/,Laney College,NR,CA,NR,NR,Dallas Hartwell,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,
4,Las Vegas Silver Stars,Pacific,https://www.lvsilverstars.com/,Mater Academy East,NR,NV,702-595-4811,lvsilverstarsfootball@gmail.com,Carrie Walters,NR,NR,NR,NR,Dion Duckett,NR,NR,NR,,,,,,,,,,,,,,,,
3,Los Angeles Legends,Pacific,https://www.lalegendsfootball.com/,LB Poly High School,NR,CA,NR,NR,Andrew Jackson,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,
1,San Diego Rebellion,Pacific,https://www.sandiegorebellion.com/,Escondido High School,NR,CA,650-521-1756,sdrebellion@wnfcfootball.com,Knengi Martin,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,
9,Kansas City Glory,Northwest,https://www.kansascityglory.com/,The Pembroke Hill School,NR,MO,NR,NR,Keke Blackmon,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,
6,Oregon Ravens,Northwest,https://oregonravens.com/,Milwaukie High School,NR,NR,NR,NR,Robby Scharf,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,
2,Seattle Majestics,Northwest,https://www.theseattlemajestics.com/,French Field,NR,WA,NR,seattlemajestics@wnfcfootball.com,Joey Martinez,NR,Steve Fenton,Justin Martinez,Christopher Berry,NR,NR,NR,NR,,,,,,,,,,,,,,,,
5,Utah Falconz,Northwest,https://www.utahfalconz.com/,Judge Memorial Catholic High School,NR,UT,NR,NR,Rick Rasmussen,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,
13,Chicago Winds,Central,https://www.thechicagowinds.com/,Perspectives Leadership Academy,NR,IL,NR,NR,Allan Williams,NR,NR,Carlos Jones,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,
8,Mississippi Panthers,Central,https://www.mspanthers.com/,Madison Ridgeland Academy,NR,MS,NR,mspanthers@wnfcfootball.com,LeSteven Jackson,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,
15,Tennesse Trojans,Central,https://www.tennesseetrojans.com/,Shackle Island Stadium,NR,TN,615-640-1382,tntrojans@wnfcfootball.com,Rachael Ortiz-Marsh,NR,Jeremy Bassett,Matthey Breymeyer,NR,Casandra Cattouse,NR,NR,Tessa Ortiz-Marsh,,,,,,,,,,,,,,,,
7,Texas Elite Spartans,Central,https://www.texaselitewomensfootball.com/,UTA Maverick Stadium,NR,TX,NR,operations@texaselitewomensfootball.com,Odessa Jenkins,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,
16,Atlanta Truth,Atlantic,https://www.atlantatruthfootball.com/,Central Gwinnett High School,NR,GA,943-888-2286,atlantatruth@wnfcfootball.com,Kameron Marks,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,
17,Florida Avengers,Atlantic,https://floridaavengers.com/,Edward Waters University,NR,FL,NR,floridaavengers@wnfcfootball.com,Damien Grimes,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,
14,Jersey Shore Wave,Atlantic,https://www.jerseyshorefb.com/,Hinchliffe Stadium,NR,NJ,NR,NR,Fabian Alesandro,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,
12,Washington Prodigy,Atlantic,https://www.washingtonprodigy.com/,NR,NR,NR,NR,NR,LaMont Jordan,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,
