Team Index,Team Name,Division,Team Website,Home Field,Home Field City,Home Field State,Phone Number,Team Email,Head Coach,Assistant HC,Offensive Coordinator,Defensive Coordinator,Special Teams Coordinator,General Manager,Assistant General Manager,Director of Operations,Owner,PCT,PF,PA,Home Wins,Home Loss,Home Ties,Road Win,Road Loss,Road Tie,Div Win,Div Loss,Div Tie,Non Div Win,Non Div Loss,Non Div Tie,Streak
16,Atlanta Phoenix,Atlantic,https://www.atlphnx.com/,Decatur High School,Atlanta,GA,404-981-5994,werise@atlantaphoenix.net,Moncrief Hart,NR,NR,NR,NR,NR,NR,NR,NR,0.833,219,19,2,1,0,3,0,0,5,1,0,0,0,0,2
12,Washington Prodigy,Atlantic,https://www.washingtonprodigy.com/,NR,Washington,DC,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.667,181,34,2,1,0,2,1,0,4,2,0,0,0,0,1
18,Philly Phantomz,Atlantic,https://www.phantomzprofootball.com/,Benjamin L Johnson Memorial Stadium,NR,PA,215-251-9554,info@phillyphantomz.com,DJ McFadden,NR,NR,NR,NR,NR,NR,NR,NR,0.167,54,156,1,2,0,0,3,0,1,5,0,0,0,0,0
15,Tennesse Trojans,Atlantic,https://www.tennesseetrojans.com/,NR,NR,TN,615-640-1382,info@tennesseetrojans.com,,NR,NR,NR,NR,NR,NR,NR,NR,0.167,24,167,1,2,0,0,3,0,1,5,0,0,0,0,0
17,Florida Avengers,Atlantic,NR,NR,NR,FL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.167,15,212,1,2,0,0,3,0,1,5,0,0,0,0,0
7,Texas Elite Spartans,Central,https://www.texaselitewomensfootball.com/,Max Goldsmith Stadium,Lewisville,TX,469-986-5672,admin@texaselitewomensfootball.com,Odessa Jenkins,Kay Spain,NR,Kay Spain,NR,Elizabeth Jenkins,Dominica Spain,NR,Odessa Jenkins,1,235,25,3,0,0,3,0,0,6,0,0,0,0,0,6
8,Mississippi Panthers,Central,https://mspanthers.com/,Madison Ridgeland Academy,NR,MS,601-212-8973,Info@mspanthers.com,LeSteven Jenkins,NR,NR,NR,NR,NR,NR,NR,NR,0.833,140,108,3,0,0,2,1,0,5,1,0,0,0,0,5
11,Houston Mambas,Central,https://www.hostedsports.com/football/www.houstonmambas.com,Edward Mercer Stadium,NR,TX,832-626-2212,Houstonmambas@wnfcfootball.com,Chenell Soho Tillman-Brooks,NR,NR,NR,NR,NR,NR,NR,NR,0.5,73,112,2,1,0,1,2,0,3,3,0,0,0,0,2
10,Denver Bandits,Central,https://denbandits.com/,Halftime Help Stadium,NR,CO,308-672-4437,denverbandits@wnfcfootball.com,Marcell Simpson,NR,Rashad Ray,Jason Drecketts,Brian Perryman,NR,NR,NR,John Lutz,0.333,68,112,1,2,0,1,2,0,2,4,0,0,0,0,0
9,Kansas City Glory,Central,https://www.kansascityglory.com/,Shawnee Mission North High School,NR,MO,NR,kcglory@wnfcfootball.com,Keke Blackmon,NR,NR,NR,NR,NR,NR,NR,NR,0.333,56,119,1,2,0,1,2,0,2,4,0,0,0,0,0
5,Utah Falconz,Pacific,https://utahfalconz.com/,Cottonwood High School,NR,UT,859-816-3671,lacy.mile@utahfalconz.com,Jasper Horn,NR,NR,NR,NR,NR,NR,NR,NR,1,167,66,3,0,0,3,0,0,6,0,0,0,0,0,6
1,San Diego Rebellion,Pacific,https://sandiegorebellion.com/,NR,NR,NR,650-521-1756,sdrebellion@wnfcfootball.com,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.667,188,42,2,1,0,2,1,0,4,2,0,0,0,0,2
4,Las Vegas Silver Stars,Pacific,https://www.lvsilverstars.com/,Faith Lutheran Middle and High School,NR,NV,702-595-4811,Lvsilverstarsfootball@gmail.com,Carrie Walters,NR,NR,NR,NR,NR,NR,NR,NR,0.5,66,70,2,1,0,1,2,0,3,3,0,0,0,0,0
6,Oregon Ravens,Pacific,https://oregonravens.com/,Milwaukie High School,NR,OR,503-901-1998,oregonravensfootball@gmail.com,Tim Price,NR,NR,NR,NR,NR,NR,NR,NR,0.333,28,147,1,2,0,1,2,0,2,4,0,0,0,0,0
3,Los Angeles Legends,Pacific,https://www.lalegendsfootball.com/,Juniperso Serra High School,NR,CA,310-256-0267,info@lalegendsfootball.com,Monique Adams,NR,NR,NR,NR,NR,NR,NR,NR,0.333,72,119,1,2,0,1,2,0,2,4,0,0,0,0,1
2,Seattle Majestics,Pacific,https://www.theseattlemajestics.com/,French Field at Kent-Meridian High School,NR,WA,206-696-0197,seattlemajestics@wnfcfootball.com,Cyndi Butz-Houghton,NR,Rodney McCurry,Scott McCarron,NR,NR,NR,NR,NR,0.167,58,136,1,2,0,0,3,0,1,5,0,0,0,0,0
